tak,,,Origin,,,,,,,,Rationale,,,,,,,,,Data,,,,,,,,,,,,EEG processing,,,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,,
,Title,Year,Authors,Journal / Origin,Preprint first,Type of paper,Lab / School / Company,Country,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Neural response pattern,Dataset name,Dataset accessibility,Data,Data - samples,Data - time,Data - subjects,Nb Channels,Sampling rate,Offline / Online,,Preprocessing,Preprocessing (clean),Artefact handling,Artefact handling (clean),Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema,Input format,Layers,Layers (clean),Activation function,Regularization,Regularization (clean),Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Training procedure (clean),Optimizer,Optimizer (clean),Optim parameters,Minibatch size,Hyperparameter optim,Hyperparameter optim (clean),Data augmentation,Loss,Intra/Inter subject,Cross validation,Cross validation (clean),Data split,Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Model inspection (clean),Discussion,Limitations,Code available,Code hosted on,Limited data,,First Reader,Second Reader,Validated by Author(s),,Citation
,EEG-signals based cognitive workload detection of vehicle driver using deep learning,2018,"Almogbel, Dang & Kameyama",IEEE Conference on Advanced Communication Technology,No,Conference,Waseda University,Japan,4,,Classification of EEG signals,Monitoring,Cognitive,Mental workload,Improve State-of-the-Art,,Driving Game (GTA),,,Muse (InteraXon),Raw EEG,Internal Recordings,Private,"1 subject x 24 sessions (12 High / 12 Low Workload)
15-30min each session
(Sliding windows [from 30s to 180s], 1/256 overlap)",216,540,1,4,256,,,None,No,No,No,Raw EEG,Raw EEG,z-score,,N/M*,CNN,CNN,,,Yes,"38400x4
(38400 = 150s @ 256Hz)","7 Conv
+ 3 FC",10,ReLU,Dropout: 50%,Yes,,,2 (Softmax),N/M*,Standard,Standard,"RMSProp
",Other,lr=0.002,64,N/M,N/M,No,Binary cross-entropy,Intra,Leave-One-Session-Out,Leave-One-Session-Out,"Train: 92%
Valid: 8%
Test: N/A",Accuracy,accuracy,N/M,,N/M,95.31%,No,None,No,No,No,"""This study does not impose in any way a direct comparison with the distinguished previous works because the used data, experimental conditions, classification targets are different in each, but rather explore and introduce the potential of using deep CNN architecture in classifying raw EEG signals without any pre-processing.""",,No,N/A,No,,Yannick Roy,Isabela Albuquerque,TBC,,Almogbel2018
,Automatic ocular artifacts removal in EEG using deep learning,2018,"Yang, Duan, Fan, Hu & Wang",Biomedical Signal Processing and Control,No,Journal,"Key Laboratory of Power Station Automation Technology, Shanghai University",China,11,,Improvement of processing tools,Signal cleaning,Artifact handling,,Novel,,Motor Imagery,,,WirelessEEG (Neuracle),Clean EEG / Ocular artefacts,"BCI Competition IV - I;
Internal Recordings",Public,"Each subject has 200 trails of motor imagery and each trail lasts for more than 6s.
Subject 1, 2, 6 and 7 from BCI Comp. dataset + 3 (internal recordings)",1400,140,7,"59;
32",100,,,1) Band-Pass Filter: 0.05-200Hz,Yes,No,No,Raw EEG,Raw EEG,min-max,,MATLAB,SAE,AE,N/M*,,Yes,100x1,3,3,,L1,Yes,,,100x1,N/M*,Greedy Layer-wise training,Standard,N/M*,N/M,,,N/M,N/M,No,RMSE,Inter,No,No,"16520 training samples
15458 test samples",RMSE,RMSE,Not mentioned,,N/M*,"RMSE is lower for proposed approach than for benchmarks, as is the accuracy on the surrogate MI task","Shallow SAE, ICA, K-ICA, SOBI",Traditional pipeline,No,No,No,"""Compared with the classical OAs removal methods, the proposed method has many highlights. [...] In the future work, we are going to improve the training method of DLN or try replacing the SAE with other neural networks such as convolutional neural networks (CNN) to strengthen its fitting ability for the details of EEG.""",,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Yang2018
,An end-to-end framework for real-time automatic sleep stage classification,2018,"Patanaik, Ong, Gooley, Ancoli-Israel & Chee",Sleep,No,Journal,"Duke-NUS Medical School, Singapore
University of California, San Diego",Singapore,11,,Classification of EEG signals,Clinical,Sleep,Staging,"Improve State-of-the-Art: DL for Sleep
(CNN + MLP)",Reduce the time necessary to stage sleep recordings by using DL,Sleep,No need for feature engineering,,N/M,Raw EEG,Internal Recordings,Private,"Four datasets ≈ 1700 polysomnography records
 a total of 11,727 hr of PSG data / 1,403,164 epochs",1403164,703620,459,2,N/M,,,"1) Pass-Band Filter (FIR): 0.3-45Hz
2) Downsampled to 100Hz (polyphase FIR filter)",Yes,No,No,Spectrogram,Frequency-domain,N/M,,TensorFlow,"CNN + MLP
(2 Stages)",CNN,Consecutive probabilities outputted by the CNN are aggregated by the MLP ,N/M,Yes,"32x32x3
(spectrogram 2D x 3 channels) ","CNN: 16
MLP: 1",17,"CNN: ReLU
MLP: tansig",N/M,N/M,,,"5
(Softmax)
Probability of each Sleep Stage","dCNN: 177 669 weights
MLP: 445 weights",Standard optimization,Standard,Stochastic gradient descent with Nesterov momentum,SGD,"Learning rate: 0.001
Momentum: 0.9
Learning rate decay: 10e-6","CNN: 300
MLP: 1000",Trial and error,Yes,No,"N/M
(Most probably categorical cross-entropy)",Inter,Yes (no detail),Yes (no detail),"Train: 75% of DS1 & DS2
Test: 25% of DS1 & DS2
Validation: DS3, DS4","Accuracy
Cohen's kappa","accuracy, Cohen's kappa",NVidia GTX 1060,,N/M,"Test set: ~89.8%. kappa=0.862
Validation set 1: 81.4%, kappa=0.740
Validation set 2: 72.1%, kappa=0.597",Expert rescoring of 50 records,Traditional pipeline,t-test on Cohen's kappa (automatic vs. expert rescoring) -> stat. diff. for validation set 3 but not for 4,No,No,"""... our framework provides a practicable, validated, and speedy solution for automatic sleep stage classification that can significantly improve throughput and productivity of sleep labs. It has the potential to play an important role in emerging novel applications of real-time automatic sleep scoring as well as being installed in personal sleep monitors.""",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Patanaik2018
,Epileptic Seizure Detection: A Deep Learning Approach,2018,"Hussein, Palangi, Ward & Wang",Arxiv,Yes,Preprint,UBC,Canada,12,,Classification of EEG signals,Clinical,Epilepsy,Detection,"Improve State-of-the-Art: DL for Epilepsy
(LSTM)","Improve performance on seizure detection with DL, on real conditions (with noise)","Resting State, Eyes Open, Eyes Closed, Seizures.",Automatically learns features,,N/M,Raw EEG,Bonn University,Public,"Bonn University (A,B,C,D,E)
5x 100 epochs of 23.6s",500,197,15,1,173.6,,,"1) Artifacts Removed
2) Band-Pass Filter: 0.53-40Hz
(before saving the dataset... ""hardcoded"")",Yes,Yes (dataset already cleaned),Yes,Raw EEG,Raw EEG,N/M,,"MATLAB, Python
Keras with TensorFlow backend",LSTM,RNN,N/M,N/M,Yes,100x2,3,3,N/M,N/M,N/M,,,"2, 3 or 5",N/M,Standard optimization,Standard,Adam,Adam,LR: 0.001,64,N/M,N/M,"Added artifacts (EMG, EOG) 
and Gaussian white noise",Categorical Cross-Entropy,Inter,10-Fold CV,k-fold,"Train: 80%
Test: 20%","Accuracy
Sensitivity
Specificity","accuracy, sensitivity, specificity",NVidia K40,,2h,"100% everywhere.
For Sensitivity, Specificity & Accuracy of the
2-Classes, 3-Classes & 5-Classes.
Robust to artificial artfiacts","Compared with many other SotA using the same dataset.
BNN, ME, SVM, ELM, LDA, SVM, KNN, ANN, etc.",Traditional pipeline,No,No,No,"Compared to the state-of-the-art methods, this approach can learn the high-level representations, and can effectively discriminate between the normal and seizure EEG activities. Another advantage of this approach lies in its robustness against common EEG artifacts (e.g., muscle activities and eye- blinking) and white noise.",Unbalanced class distributions,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Hussein2018
,Development of a brain computer interface interface using multi-frequency visual stimulation and deep neural networks,2018,"Perez-Benitez, Perez-Benitez & Espina-Hernandez","IEEE Conference on Electronics, Communications and Computers",No,Conference,"National Polytechnic Institute, Mexico",Mexico,7,,Classification of EEG signals,BCI,Reactive,SSVEP,Improve State-of-the-Art: SSVEP with CNN,Increase number of commands and reduce eyestrain in a visual BCI,SSVEP (with LEDs),Just another classifier!,,(Custom-made),SSVEP,Internal Recordings,Private,11 subjects x 5 stimuli,N/M,N/M,11,3,250,,,N/M,N/M,N/M,N/M,Spectrum,Frequency-domain,N/M,,N/M,"SAE
(Sparse AutoEncoder)",AE,N/M,N/M,Yes,N/M,"SAE: 2
Final: 2",4,Sigmoid,"L2 regularization
Sparsity loss",Yes,,,"5
(Softmax)
Diff SSVEP Freqs",N/M,"1) Train SAE
2) Train softmax on top of SAE middle layer",Pre-training,N/M,N/M,"epochs: 50
lambda (L2): 0.16
gamma (sparsity): 1.0
rho: 0.1",N/M,N/M,N/M,No,"Mean Squared Error (SAE)
Cross-entropy (softmax layer)",Intra,No,No,N/M,Accuracy,accuracy,N/M,,N/M,97.78% (not clear if on training set or something else!),"k-NN
Naive Bayes, Bayes Kernel
Decision Tree, Random Forest, Gradient Boosted Tree
Rule Induction, MC-SVM, 
ML Perceptron",Traditional pipeline,No,Visualization of learned parameters,Analysis of weights,"The analysis of the DNN first layer weights reveals that there are two main patterns containing information about the SSVEPs in the power spectrums of the measured EEG signals: (i) the weights reinforces the features of the spectrum at frequencies {fst}, 3/2 {fst} and 2{fst} where fst are the frequencies of the MFVS and the other (ii) the weights reinforces the features of the spectrum at low frequencies from 0 Hz – 20Hz.",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Perez-Benitez2018
,Deep Semantic Architecture with discriminative feature visualization for neuroimage analysis,2018,"Ghosh, Dal Maso, Roig, Mitsis & Boudrias",Arxiv,Yes,Preprint,"McGill, UdeM",Canada,11,,Classification of EEG signals,Monitoring,Physical,Exercise,Improve SOTA,Study the add-on effects of exercise on motor learning,Hand motor task before and after an acute exercise,Does not require hand-engineered features,,ActiCap (BrainVision),"Brain Rhythms
(SMR)",Internal Recordings,Private,"25 subjects
4 x 50 x [3.5 sec (holding) + 3 to 5 sec (rest)]",5000,625,25,64,2500,,,"1) Band-Pass Filter: 0.5-55Hz
2) Re-reference to average.
3) Visual Inspection, noisy signal segment removed
4) ICA to remove eye blinks
5) Morlet Wavelet (wave:7, 1Hz reso)",Yes,"Visual inspection to reject transient artefacts
ICA for eye blinks",Yes,Frequency Bands (55),Frequency-domain,Per-electrode spectral normalization,,"Brainstorm (MATLAB), Torch",CNN,CNN,"1) Base CNN that expects baseline and post-condition data in parallel
2) CNN that predicts class
3) Adverserial Component to penalize subject-dependent training",Base CNN: spectral-only convolutions,Yes,"64 x 55
(channels x freq bands)
[x2 since the Base CNN is used twice in a single pass]","[On TF maps, on topo maps]
BaseCNN: 2 + 1, 3 + 1
Discriminator: 2, 2
Adversary: 2, 2",7,ReLU,"Dropout, weight decay",Yes,,,"2
Prob of EXE
Prob of CON",N/M,Standard optimization,Standard,Adam,Adam,"[On TF maps, on topo maps]
LR: 0.001, 0.001
LR decay: 0.0001, 0.001
Weight decay: 0.001, 0.03",N/M,N/M,N/M,No,"Negative Log-Likelihood
 (part 1) & 
KL-Divergence (part 2)",Inter,N/M,No,"Train: 80%
Validation: 20%
Test: N/M",Accuracy,accuracy,N/M,,N/M,98.70%,N/M,None,No,Visualization of class activation maps (proposed method),Class Activation Maps,"""Importantly, the proposed novel method enabled us to visualize the features learnt by deep networks such as CNNs, which may in turn yield better interpretation of their classification basis.""",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Ghosh2018
,Cascade and Parallel Convolutional Recurrent Neural Networks on EEG-based Intention Recognition for Brain Computer Interface,2018,"Zhang, Yao, Zhang, Wang, Chen & Boots",AAAI Conference on Artificial Intelligence,Yes,Preprint,University of New South Wales,Australia,8,,Classification of EEG signals,BCI,Active,Motor imagery,Novel Approach: Cascade & Parallel CNN and RNN,Compare Cascade and Parallel CNN + RNN on Motor Imagery Dataset (eegmmidb) to SOTA,"Motor Imagery
(see eegmmidb dataset)",To capture temporal and spatial information.,,(BCI2000 Instruments),Motor Imagery,"eegmmidb;
Internal Recordings",Both," (eegmmidb)
108 subjects, 3,145,160 EEG (2808min)
(Internal recordings)
9 subjects x 30 trials (6 per class)
Internal recordings: 10s action, 10s rest",3145430,2898,108,64,160,Offline,,"1) 2D Mesh (Matrice)
2) Sliding Window (clips)
3) Normalize",Yes,No,No,"2D Mesh Clips
(of Raw EEG)",Raw EEG,z-score,,N/M,"Cascade / Parallel
CNN + RNN (LSTM)",CNN+RNN,CNN + LSTM combined (serial or parallel),To capture spatial and temporal resolution,Yes,"2D Data mesh

(time signal x spatial matrice)","3 CNN + 1 FC (1024)
2 LSTM (64) + 1 FC (1024)",7,N/M,"Dropout
(0.5)",Yes,5,5 Motor Commands,"5

(Softmax)",N/M,N/M,N/M,Adam,Adam,LR: 0.0001,N/M,N/M,N/M,N/M,Cross-Entropy,Inter,N/M,No,"Train: 75%
Test: 25%",Accuracy,accuracy,Nvidia Titan X Pascal,,N/M,"Cascade: 0.9824
Parallel: 0.9828","(Major and Conrad 2017)  : 0.72  -   ICA
(Shenoy, Vinod, and Guan 2015) : 0.82  -  SR-FBCSP
(Pinheiro et al. 2016) : 0.85  -  SVM
(Kim et al. 2016) : 0.80  -  SUTCCSP
(Zhang et al. 2017) : 0.79  -  XGBoost
(Bashivan et al. 2016) : 0.67  -  R-CNN",DL & Trad.,No,No,No,"A large-scale dataset of 108 participants on five categories is used to evalu- ate the proposed models. The experimental results show that both the cascade and parallel architectures could achieve very competitive accuracy around 98.3%, considerably superior to the state-of-the-art methods.",N/M,No,N/A,No,,Yannick Roy,Isabela Albuquerque,TBC,,Zhang2018c
,A hierarchical LSTM model with attention for modeling EEG non-stationarity for human decision prediction,2018,"Hasib, Nayak & Huang",IEEE EMBS International Conference on Biomedical & Health Informatics,No,Conference,"University of Texas, San Antonio",USA,4,,Classification of EEG signals,BCI,Active,Mental tasks,Improve SOTA,Novel Approach: H-LSTM with Attention for Decision Classification ,"Allow or Deny Access based on ID + Image
(Guard)",No need for hand-engineered features,,ActiveTwo (BioSemi),Raw EEG,BCIT Guard Duty,Private,"1782 of 5297 sequences selected: 
892 Deny + 890 Allow 
18 Subjects
(10s windows)",1782,297,18,64,512,,,"1) Downsampled to 128Hz
2) Band-Pass Filter: 0.1-55Hz",Yes,N/M,N/M,Raw EEG,Raw EEG,z-score,,N/M,LSTM,RNN,"Hierachical (from samples in first layer to epochs in second layer)
Attention mechanism","First layer acts on samples
Second layer acts on epochs",Yes,0.5s epochs,2,2,N/M,L2 weight decay,Yes,,,"1
Allow / Deny",N/M,Standard optimization,Standard,Adam,Adam,N/M,N/M,N/M,N/M,N/M,Cross-Entropy,Inter,3-Fold CV,k-fold,"Train: 60%
Validation: 6%
Test: 33%",ROC AUC,ROC AUC,N/M,,N/M,"H-LSTM (w/ Attention & 0.5s epochs): 82.6%
H-LSTM (w/ Attention & 2.5s epochs): 81%
H-LSTM (w/ Attention & 5s epochs): 81.6%
H-LSTM (w/out Attention & 0.5s epochs): 80.3%
H-LSTM (w/out Attention & 5s epochs): 73.7%","SVM: 65%
CNN: 69%",DL & Trad.,No,No,No,"""Using the attention mechanism does help enhance the discriminate features obtained from these epochs, although it does not help model the EEG non-stationarity"" 
""Consistent with the observation from LSTM performance, we observed an increase of performance with shorter epoch length.""",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Hasib2018
,Deep EEG super-resolution: Upsampling EEG spatial resolution with Generative Adversarial Networks,2018,Corley & Huang,IEEE EMBS International Conference on Biomedical & Health Informatics,No,Conference,"University of Texas, San Antonio",USA,4,,Generation of data,Generating EEG,Spatial upsampling,,Novel Approach: GAN for EEG Upsampling.,,BCI Competition III - Dataset V,GANs previous great results on image super-resolution,,N/M,N/A,BCI Competition III - V,Public,"(BCI Comp. III - V)
1,096,192 samples from 3 subjects
(Windows of 1s, 480/512 overlap)",36397,35.7,3,32,512,,,1) Downsampling in the number of channels (from 32 to 16),Yes,No,No,None,Raw EEG,z-score,,N/M,WGAN,GAN,N/M,Convolutional layers with kernel dimensions that find the relationships between channels,Yes,"32 x 512
(channels x samples)","Gen: 6 Conv Layers
Discrim:  4 Conv Layers + 1 FC",6,ELU,"Dropout
(0.1 - 0.25)",Yes,,,"32 x SR
(Channels x Super Resolved)
(upsampled data)",N/M,"Pre-trained Gen fine-tuned w/
WGAN framework losses w/ gradient penalty weight of 10. 
Also, label smoothing technique",Other,Adam,Adam,"a=10^-4, b1=0.5, b2=0.9",64,N/M,N/M,N/M,"Gen: MSE
Discrim: Distance",Inter,Holdout,Holdout,"Train: 75%
Valid: 20%
Test: 5%","MSE 
MAE 
(mean absolute error)
Accuracy, precision and recall (for classification task)","MSE, MAE, accuracy, precision, recall",N/M,,N/M,"[Scale 2 - Test]   MSE: 2.06E3  |  MAE: 24.66
[Scale 4 - Test]   MSE: 8.68E3  |  MAE: 64.39

~10^4 fold (MSE) and ~10^2 fold (MAE) compared to Bicubic Interpolation",Bicubic Interpolated Channel Data,Traditional pipeline,No,No,No,"""Feature scaling techniques besides standard normalization decreased model performance. [...] It was notably difficult and time-consuming to train GANs for EEG data. [...] After testing different variants of GAN: WGAN appeared to be more stable during training.""","""It was notably difficult and time-consuming to train GANs for EEG data""",No,N/A,No,,Yannick Roy,Isabela Albuquerque,TBC,,Corley2018
,Spatial and Time Domain Feature of ERP Speller System Extracted via Convolutional Neural Network,2018,"Yoon, Lee & Whang",Computational Intelligence and Neuroscience,No,Journal,"Duke University
Sangmyung University",USA,12,,Classification of EEG signals,BCI,Reactive,ERP,Alleviate BCI illiteracy,Reduce BCI illiteracy in P300 spellers by using CNNs,Rapid Serial Visual Presentation (P300 speller),"Uncover new unknown spatial/temporal patterns.
When an optimal filter is applied, the convolution will magnify the feature of interest and reduce the others [25].",,B-Alert X10 (ABM),P300 and oddball paradigm-related EEG activity,Internal Recordings,Private,"33 subjects, 2 to 4 pairs of sessions (offline + online)
12 trials / session (each trial = 10s + ERP stimuli)
20 times x 6 icons / trial (300ms)
33x3x12x6x20 = 142,560 samples",142560,712,33,11,256,Both,,N/M,N/M,N/M,N/M,Raw EEG,Raw EEG,N/A,,"TensorFlow
Python",CNN,CNN,-,"Layer 1: spatial correlation
Layer 2: temporal filter",Yes,"14 x 300
(channels x samples)","CNN: 2
FC: 2",4,ReLU,"Dropout
(0.1 - 0.25)",Yes,6,"6 different icons 
(Power On/Off, Volume Up/Down, Channel Up/Down)",2,N/M,Standard optimization,Standard,Adam,Adam,N/M,N/M,N/M,N/M,N/M,N/M,Intra,No,No,"Train: 50% (offline)
Test: 50% (online)","Accuracy, sensitivity, precision, F1 score, ROC (+ ANOVA on metrics)","accuracy, sensitivity, precision, f1-score, ROC",N/M,,N/M,"Accuracy: 88.9 for high performing group, 68,7% for low performing group",No benchmark,None,ANOVA,Visualization of weights,Analysis of weights,"A P300 is not visible in all subjects, but there seems to be a P700 that is pretty consistent across subjects.
Spatial features seem to play a more important role than temporal features in the classification of an oddball task. ",-,No,N/A,No,,Hubert Banville,Yannick Roy,TBC,,Yoon2018
