,Title,Citation,Task,Metric,Model,Description,Architecture,Result,Comment
,EEG-signals based cognitive workload detection of vehicle driver using deep learning,Almogbel2018,mental workload classification,accuracy,arch1,CNN 30 s,CNN,0.8725,
,,Almogbel2018,mental workload classification,accuracy,arch2,CNN 60 s,CNN,0.9202,
,,Almogbel2018,mental workload classification,accuracy,arch3,CNN 90 s,CNN,0.8838,
,,Almogbel2018,mental workload classification,accuracy,arch4,CNN 120,CNN,0.8224,
,,Almogbel2018,mental workload classification,accuracy,arch5,CNN 150,CNN,0.9531,
,,Almogbel2018,mental workload classification,accuracy,arch6,CNN 180,CNN,0.8469,
,Automatic ocular artifacts removal in EEG using deep learning,Yang2018,artifact correction,rmse,arch1,MLP,FC,1.2838,"Also report accuracy, but on surrogate task"
,,Yang2018,artifact correction,rmse,dl1,SAE,,1.2602,
,,Yang2018,artifact correction,rmse,trad1,ICA,,1.4934,
,,Yang2018,artifact correction,rmse,trad2,K-ICA,,1.426,
,,Yang2018,artifact correction,rmse,trad3,SOBI,,1.371,
,An end-to-end framework for real-time automatic sleep stage classification,Patanaik2018,sleep staging,accuracy,arch1,CNN + MLP,CNN,0.898,
,,Patanaik2018,sleep staging,cohen's kappa,arch1,CNN + MLP,CNN,0.862,
,,Patanaik2018,sleep staging (DS3 subset),cohen's kappa,arch1,CNN + MLP,CNN,0.711,
,,Patanaik2018,sleep staging (DS3 subset),cohen's kappa,trad1,Expert rescoring,,0.673,
,,Patanaik2018,sleep staging (DS4 subset),cohen's kappa,arch1,CNN + MLP,CNN,0.588,
,,Patanaik2018,sleep staging (DS4 subset),cohen's kappa,trad1,Expert rescoring,,0.576,
,Epileptic Seizure Detection: A Deep Learning Approach,Hussein2018,"seizure detection (2-class, hold-out)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class, hold-out)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class, hold-out)",accuracy,trad1,SVM,,0.9725,
,,Hussein2018,"seizure detection (2-class, hold-out)",sensitivity,trad1,SVM,,0.945,
,,Hussein2018,"seizure detection (2-class, hold-out)",accuracy,trad2,SVM,,0.975,
,,Hussein2018,"seizure detection (2-class, hold-out)",sensitivity,trad2,SVM,,0.98,
,,Hussein2018,"seizure detection (2-class, hold-out)",accuracy,trad3,BLDA,,0.9667,
,,Hussein2018,"seizure detection (2-class, hold-out)",sensitivity,trad3,BLDA,,0.9625,
,,Hussein2018,"seizure detection (2-class, LOSO)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class, LOSO)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class, LOSO)",accuracy,trad4,ELM,,N/M,
,,Hussein2018,"seizure detection (2-class, LOSO)",sensitivity,trad4,ELM,,0.9948,
,,Hussein2018,"seizure detection (2-class, 10-CV)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class, 10-CV)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class, 10-CV)",accuracy,trad5,DT,,0.9869,
,,Hussein2018,"seizure detection (2-class, 10-CV)",sensitivity,trad5,DT,,0.9887,
,,Hussein2018,"seizure detection (2-class B, hold-out)",accuracy,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class B, hold-out)",sensitivity,arch1,LSTM,RNN,1,
,,Hussein2018,"seizure detection (2-class B, hold-out)",accuracy,trad6,CVANN,,0.9933,
,,Hussein2018,"seizure detection (2-class B, hold-out)",sensitivity,trad6,CVANN,,1,
