,,,Origin,,,,,,,,,,,,,,,Data,,,,,,,,,,,EEG processing,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,
,Title,Year,Authors,Journal / Origin,Arxiv,Lab / School / Company,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Invasive,Neural response pattern,Dataset name,Dataset accessibility,Nb Subjects,Nb Channels,Sampling rate,Nb EEG Epochs,Offline / Online,,Preprocessing,Artefact handling,Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema/Graph/Table,Input format,Layers,Activation function,Regularization,Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Optimizer,Optim parameters,Minibatch size,Hyperparameter optim,Data augmentation,Loss,Intra/Inter subject,Cross validation,Data split,Data (YR),Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Discussion,Limitations,Code available,Code hosted on,Limited data,Others & Comments,,First Reader,Second Reader,,Citation
,EEG-signals based cognitive workload detection of vehicle driver using deep learning,2018,"Almogbel, Dang & Kameyama",IEEE Conference on Advanced Communication Technology,No,Waseda University,4,,Classification of EEG signals,Monitoring,Cognitive,Mental workload,Improve State-of-the-Art,,Driving Game (GTA),,,Muse,No,Raw EEG,Internal Recordings,Private,1,4,256Hz,N/M*,,,None,No,Raw EEG,Raw EEG,z-score,,N/M*,CNN,CNN,,,Yes,"38400x4
(38400 = 150s @ 256Hz)","7 Conv
+ 3 FC",ReLU,Dropout: 50%,,,2 (Softmax),N/M*,,"RMSProp
",lr=0.002,64,N/M,No,Binary cross-entropy,Intra,"All sessions but last for training.
Last session for evaluation.","Train: 6 million samples
Valid: 460 thousand
Test: N/A

(for each of the 4 channels)","Each of the two types of session was recorded for an interval
of 15 to 30 minutes on a span of one month. The number of sessions for the experiments is 24 where 12 is for high workload and 12 is for low workload. Hence, the data in one second consist of 256 samples, and that of 15 to 30 minutes session consist of 230,000 to 460,000 samples for each of the 4 channels. Thus, over 6 million samples for each of the 4 channels are used for the training and 460 thousand for the evaluation. The slicing windows are overlapped with 1/256[sec] step",Accuracy,accuracy,N/M,,N/M,95.31%,No,None,,No,"""This study does not impose in any way a direct comparison with the distinguished previous works because the used data, experimental conditions, classification targets are different in each, but rather explore and introduce the potential of using deep CNN architecture in classifying raw EEG signals without any pre-processing.""",,No,N/A,No,24 sessions of 15 to 30 minutes over 1 month on 1 subject. Balanced dataset / classes. (is that important to report?),,Yannick,Isabela,,Almogbel2018
,Automatic ocular artifacts removal in EEG using deep learning,2018,"Yang, Duan, Fan, Hu & Wang",Biomedical Signal Processing and Control,No,"Key Laboratory of Power Station Automation Technology, Shanghai University",11,,Improvement of processing tools,Signal cleaning,Artifact handling,,Novel,,Motor Imagery,,,Neuracle Wireless 32,No,Clean EEG / Ocular artefacts,"BCI Competition IV - I;
Internal Recordings",Public,"4 (of 7 in public dataset)
+ 3 (internal)","59
32",100Hz,200 per subject * 7 = 1400,,,1) Band-Pass Filter: 0.05-200Hz,,Raw EEG,Raw EEG,min-max,,MATLAB,SAE,AE,N/M*,,Yes,100x1,3,,,,,100x1,N/M*,Greedy Layer-wise training,N/M*,,,,No,RMSE,Inter,No,"16520 training samples
15458 test samples","Each subject has 200 trails of motor imagery and each trail lasts for more than 6 s. EEG signals were recorded from 59 channels. In this paper, we selected Subject 1, 2, 6 and 7. (from BCI Comp. dataset)
They also recorded internal recordings: 3 individuals also has 200 trials of motor imagery and each trial also lasts for more than 6 s. (each participant)","RMSE of reconstructions
Accuracy on surrogate MI task ","RMSE, accuracy",Not mentioned,,N/M*,"RMSE is lower for proposed approach than for benchmarks, as is the accuracy on the surrogate MI task","Shallow SAE, ICA, K-ICA, SOBI",Traditional pipeline,,,"""Compared with the classical OAs removal methods, the proposed method has many highlights. [...] In the future work, we are going to improve the training method of DLN or try replacing the SAE with other neural networks such as convolutional neural networks (CNN) to strengthen its fitting ability for the details of EEG.""",,No,N/A,No,Poorly written... :( The way some elements are explained shows the authors do not really understand the methods they are using.,,Yannick,Hubert,,Yang2018
,An end-to-end framework for real-time automatic sleep stage classification,2018,"Patanaik, Ong, Gooley, Ancoli-Israel & Chee",Sleep,No,"Duke-NUS Medical School, Singapore
University of California, San Diego",11,,Classification of EEG signals,Clinical,Sleep,Staging,"Improve State-of-the-Art: DL for Sleep
(CNN + MLP)",Reduce the time necessary to stage sleep recordings by using DL,Sleep,No need for feature engineering,,N/M,No,Raw EEG,Internal Recordings,Private,459,"2 EEG + 2 EOG
(the two bipolar EEG channels are then averaged)",N/M,"1,403,164 epochs",,,"1) Pass-Band Filter (FIR): 0.3-45Hz
2) Downsampled to 100Hz (polyphase FIR filter)",No,Spectrogram,Frequency-domain,N/M,,TensorFlow,"CNN + MLP
(2 Stages)",CNN,Consecutive probabilities outputted by the CNN are aggregated by the MLP ,N/M,Yes,"32x32x3
(spectrogram 2D x 3 channels) ","CNN: 16
MLP: 1","CNN: ReLU
MLP: tansig",N/M,,,"5
(Softmax)
Probability of each Sleep Stage","dCNN: 177 669 weights
MLP: 445 weights",Standard optimization,Stochastic gradient descent with Nesterov momentum,"Learning rate: 0.001
Momentum: 0.9
Learning rate decay: 10e-6","CNN: 300
MLP: 1000",Trial and error,No,"N/M
(Most probably categorical cross-entropy)",Inter,Yes,"Train: 75% of DS1 & DS2
Test: 25% of DS1 & DS2
Validation: DS3, DS4","The framework was tested on four datasets comprising ≈ 1700 polysomnography records ( ≈ 12 000 hr of recordings). A total of 11,727 hr of PSG data with 1,403,164 epochs were used for train- ing, testing, and validation.","Accuracy
Cohen's kappa","accuracy, Cohen's kappa",NVidia GTX 1060,,N/M,"Test set: ~89.8%. kappa=0.862
Validation set 1: 81.4%, kappa=0.740
Validation set 2: 72.1%, kappa=0.597",Expert rescoring of 50 records,None,,No,"""... our framework provides a practicable, validated, and speedy solution for automatic sleep stage classification that can significantly improve throughput and productivity of sleep labs. It has the potential to play an important role in emerging novel applications of real-time automatic sleep scoring as well as being installed in personal sleep monitors.""",N/M,No,N/A,No,"Great paper, with most of the information available. Interesting experiment (slow wave entrainment)",,Yannick,Hubert,,Patanaik2018
,Epileptic Seizure Detection: A Deep Learning Approach,2018,"Hussein, Palangi, Ward & Wang",Arxiv,Yes,UBC,12,,Classification of EEG signals,Clinical,Epilepsy,Detection,"Improve State-of-the-Art: DL for Epilepsy
(LSTM)","Improve performance on seizure detection with DL, on real conditions (with noise)","Resting State, Eyes Open, Eyes Closed, Seizures.",Automatically learns features,,N/M,Both,Raw EEG,Bonn University,Public,15,1,173.6Hz,500,,,"1) Artifacts Removed
2) Band-Pass Filter: 0.53-40Hz
(before saving the dataset... ""hardcoded"")",Yes (dataset already cleaned),Raw EEG,Raw EEG,N/M,,"MATLAB, Python
Keras with TensorFlow backend",LSTM,RNN,N/M,N/M,Yes,100x2,3,N/M,N/M,,,"2, 3 or 5",N/M,Standard optimization,Adam,LR: 0.001,64,N/M,"Added artifacts (EMG, EOG) 
and Gaussian white noise",Categorical Cross-Entropy,Inter,"3-, 5- and 10-fold CV","Train: 80%
Test: 20%",Bonn University,"Accuracy
Sensitivity
Specificity","accuracy, sensitivity, specificy",NVidia K40,,2h,"100% everywhere.
For Sensitivity, Specificity & Accuracy of the
2-Classes, 3-Classes & 5-Classes.
Robust to artificial artfiacts","Compared with many other SotA using the same dataset.
BNN, ME, SVM, ELM, LDA, SVM, KNN, ANN, etc.",Traditional pipeline,,No,"Compared to the state-of-the-art methods, this approach can learn the high-level representations, and can effectively discriminate between the normal and seizure EEG activities. Another advantage of this approach lies in its robustness against common EEG artifacts (e.g., muscle activities and eye- blinking) and white noise.",Unbalanced class distributions,No,N/A,No,"""To the best of our knowledge, this is the most widely used dataset for epileptic seizure detection""  (Bonn University Dataset)",,Yannick,Hubert,,Hussein2018
,Development of a brain computer interface interface using multi-frequency visual stimulation and deep neural networks,2018,"Perez-Benitez, Perez-Benitez & Espina-Hernandez","IEEE Conference on Electronics, Communications and Computers",No,"National Polytechnic Institute, Mexico",7,,Classification of EEG signals,BCI,Reactive,SSVEP,Improve State-of-the-Art: SSVEP with CNN,Increase number of commands and reduce eyestrain in a visual BCI,SSVEP (with LEDs),Just another classifier!,,Custom-made,No,SSVEP,Internal Recordings,Private,11,3,250,N/M,,,N/M,N/M,Spectrum,Frequency-domain,N/M,,N/M,"SAE
(Sparse AutoEncoder)",AE,N/M,N/M,Yes,N/M,"SAE: 2
Final: 2",Sigmoid,"L2 regularization
Sparsity loss",,,"5
(Softmax)
Diff SSVEP Freqs",N/M,"1) Train SAE
2) Train softmax on top of SAE middle layer",N/M,"epochs: 50
lambda (L2): 0.16
gamma (sparsity): 1.0
rho: 0.1",N/M,N/M,No,"Mean Squared Error (SAE)
Cross-entropy (softmax layer)",Intra,No,N/M,"11 voluntary participant, 5 visual stimuli ...",Accuracy,accuracy,N/M,,N/M,97.78% (not clear if on training set or something else!),"k-NN
Naive Bayes, Bayes Kernel
Decision Tree, Random Forest, Gradient Boosted Tree
Rule Induction, MC-SVM, 
ML Perceptron",Traditional pipeline,,Yes (visualization of learned parameters),"The analysis of the DNN first layer weights reveals that there are two main patterns containing information about the SSVEPs in the power spectrums of the measured EEG signals: (i) the weights reinforces the features of the spectrum at frequencies {fst}, 3/2 {fst} and 2{fst} where fst are the frequencies of the MFVS and the other (ii) the weights reinforces the features of the spectrum at low frequencies from 0 Hz – 20Hz.",N/M,No,N/A,No,"They say that it could go up to 220 commands!!! But tested with 5 and their next step is to try with 30 commands.
Also, since they don't talk about data split, it could be that the results they report were obtained on the training set...",,Yannick,Hubert,,Perez-Benitez2018
,Deep Semantic Architecture with discriminative feature visualization for neuroimage analysis,2018,"Ghosh, Dal Maso, Roig, Mitsis & Boudrias",Arxiv,Yes,"McGill, UdeM",11,,Classification of EEG signals,Monitoring,Physical,Exercise,Improve SOTA,Study the add-on effects of exercise on motor learning,Hand motor task before and after an acute exercise,Does not require hand-engineered features,,ActiCap (BrainVision),No,"Brain Rhythms
(SMR)",Internal Recordings,Private,25,64,2500,N/M,,,"1) Band-Pass Filter: 0.5-55Hz
2) Re-reference to average.
3) Visual Inspection, noisy signal segment removed
4) ICA to remove eye blinks
5) Morlet Wavelet (wave:7, 1Hz reso)","Visual inspection to reject transient artefacts
ICA for eye blinks",Frequency Bands (55),Frequency-domain,Per-electrode spectral normalization,,"Brainstorm (MATLAB), Torch",CNN,CNN,"1) Base CNN that expects baseline and post-condition data in parallel
2) CNN that predicts class
3) Adverserial Component to penalize subject-dependent training",Base CNN: spectral-only convolutions,Yes,"64 x 55
(channels x freq bands)
[x2 since the Base CNN is used twice in a single pass]","[On TF maps, on topo maps]
BaseCNN: 2 + 1, 3 + 1
Discriminator: 2, 2
Adversary: 2, 2",ReLU,"Dropout, weight decay",,,"2
Prob of EXE
Prob of CON",N/M,Standard optimization,Adam,"[On TF maps, on topo maps]
LR: 0.001, 0.001
LR decay: 0.0001, 0.001
Weight decay: 0.001, 0.03",N/M,N/M,No,"Negative Log-Likelihood
 (part 1) & 
KL-Divergence (part 2)",Inter,N/M,"Train: 80%
Validation: 20%
Test: N/M","25 subjects, 4 visits
4x50 repetitions of 3.5 sec (holding) + 3 to 5 sec rest period.",Accuracy,accuracy,N/M,,N/M,98.70%,N/M,None,,Yes (focus of paper actually! New technique to visualize average feature maps),"""Importantly, the proposed novel method enabled us to visualize the features learnt by deep networks such as CNNs, which may in turn yield better interpretation of their classification basis.""",N/M,No,N/A,No,"Yes, yes.",,Yannick,Hubert,,Ghosh2018
,Cascade and Parallel Convolutional Recurrent Neural Networks on EEG-based Intention Recognition for Brain Computer Interface,2018,"Zhang, Yao, Zhang, Wang, Chen & Boots",AAAI Conference on Artificial Intelligence,Yes,University of New South Wales,8,,Classification of EEG signals,BCI,Active,Motor imagery,Novel Approach: Cascade & Parallel CNN and RNN,Compare Cascade and Parallel CNN + RNN on Motor Imagery Dataset (eegmmidb) to SOTA,"Motor Imagery
(see eegmmidb dataset)",To capture temporal and spatial information.,,BCI2000 Instruments,No,Motor Imagery,"eegmmidb;
Internal Recordings;",Both,108,64,160,"3,145,160 EEG records",Offline,,"1) 2D Mesh (Matrice)
2) Sliding Window (clips)
3) Normalize",No,"2D Mesh Clips
(of Raw EEG)",Raw EEG,z-score,,N/M,"Cascade / Parallel
CNN + RNN (LSTM)",CNN+RNN,CNN + LSTM combined (serial or parallel),To capture spatial and temporal resolution,Yes,"2D Data mesh

(time signal x spatial matrice)","3 CNN + 1 FC (1024)
2 LSTM (64) + 1 FC (1024)",N/M,"Dropout
(0.5)",5,5 Motor Commands,"5

(Softmax)",N/M,N/M,Adam,LR: 0.0001,N/M,N/M,N/M,Cross-Entropy,Inter,N/M,"Train: 75%
Test: 25%","108 subjects, 3,145,160 EEG records (eegmmidb)
+ 9 subjects x 30 trials (6 per class) (Internal recordings)
Internal recordings: 10s action, 10s rest",Accuracy,accuracy,Nvidia Titan X Pascal,,N/M,"Cascade: 0.9824
Parallel: 0.9828","(Major and Conrad 2017)  : 0.72  -   ICA
(Shenoy, Vinod, and Guan 2015) : 0.82  -  SR-FBCSP
(Pinheiro et al. 2016) : 0.85  -  SVM
(Kim et al. 2016) : 0.80  -  SUTCCSP
(Zhang et al. 2017) : 0.79  -  XGBoost
(Bashivan et al. 2016) : 0.67  -  R-CNN",DL & Trad.,,it is observed that the cascade architecture produces best performance when the hidden state size of LSTM cells is 64. This is probably because it is hard to well trained the network with larger size and smaller hidden state size has limited representation capabilities,"A large-scale dataset of 108 participants on five categories is used to evalu- ate the proposed models. The experimental results show that both the cascade and parallel architectures could achieve very competitive accuracy around 98.3%, considerably superior to the state-of-the-art methods.",N/M,No,N/A,No,"Results seem a little too good. Need to be reproduced!
98% in the BCI world for a 5 classes MI... That's too good... Very interesting! CNN + LSTM together (serial or parallel) Even when trying on the Emotiv (5 Classes MI-BCI; 93% Accuracy!!!)",,Yannick,Isabela,,Zhang2018c
,A hierarchical LSTM model with attention for modeling EEG non-stationarity for human decision prediction,2018,"Hasib, Nayak & Huang",IEEE EMBS International Conference on Biomedical & Health Informatics,No,"University of Texas, San Antonio",4,,Classification of EEG signals,BCI,Active,Mental tasks,Improve SOTA,Novel Approach: H-LSTM with Attention for Decision Classification ,"Allow or Deny Access based on ID + Image
(Guard)",No need for hand-engineered features,,BioSemi,No,Raw EEG,BCIT Guard Duty,Private,18,64 (out of 256),512,"Total: 1782
Deny: 892
Allow: 890",,,"1) Downsampled to 128Hz
2) Band-Pass Filter: 0.1-55Hz",N/M,Raw EEG,Raw EEG,z-score,,N/M,LSTM,RNN,"Hierachical (from samples in first layer to epochs in second layer)
Attention mechanism","First layer acts on samples
Second layer acts on epochs",Yes,0.5s epochs,2,N/M,L2 weight decay,,,"1
Allow / Deny",N/M,Standard optimization,Adam,N/M,N/M,N/M,N/M,Cross-Entropy,Inter,3-Fold CV,"Train: 60%
Validation: 6%
Test: 33%","Altogether, there were 5297 sequences, where 892 corresponded to the decision Deny. To balance data, we selected 890 allow and 892 deny sequence or total 1782 sequences.
(from 18 subjects)",AUC,AUC,N/M,,N/M,"H-LSTM (w/ Attention & 0.5s epochs): 82.6%
H-LSTM (w/ Attention & 2.5s epochs): 81%
H-LSTM (w/ Attention & 5s epochs): 81.6%
H-LSTM (w/out Attention & 0.5s epochs): 80.3%
H-LSTM (w/out Attention & 5s epochs): 73.7%","SVM: 65%
CNN: 69%",DL & Trad.,,N/M,"""Using the attention mechanism does help enhance the discriminate features obtained from these epochs, although it does not help model the EEG non-stationarity"" 
""Consistent with the observation from LSTM performance, we observed an increase of performance with shorter epoch length.""",N/M,No,N/A,No,Interesting task and approach.,,Yannick,Hubert,,Hasib2018
